sku,description,demand_pattern,model_used,date,forecast,forecast_lower,forecast_upper,mape_backtest,wmape_backtest,bias_pct,holiday_adjusted
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-07-01,10.018715914672473,6.794924568187641,12.93126476564741,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-08-01,5.542216110534876,2.5580190648096837,8.36176718984217,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-09-01,12.627370436439913,9.371945451998336,15.588609354972746,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-10-01,14.438769919750731,11.41929574906057,17.636852852030287,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-11-01,8.85790946490085,5.694209409517882,11.716346712261394,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-12-01,8.265121230784082,4.980618966539805,11.511799654596436,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2027-01-01,19.186208722879424,16.15096238210539,22.14112894169246,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2027-02-01,9.021211665053274,6.017288371668943,11.88360197144101,12.84258999301101,11.795912669997394,-11.79591266999738,False
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,2027-03-01,10.751729096420362,7.468500607408681,13.862905230122122,12.84258999301101,11.795912669997394,-11.79591266999738,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-04-01,36.20913251931145,30.797887260785473,41.37477495702995,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-05-01,56.13237175848258,51.00411880523018,61.272379731907165,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-06-01,40.46507764473196,35.0803156355746,45.6553350709789,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-07-01,23.555294507698378,18.454091063205535,28.881352103729096,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-08-01,43.9981788663382,38.78684654972002,49.08844834901274,14.79639832111891,15.49793539271046,-15.3903832194865,False
